Food	Serving Size	Calories	Fat	Saturated Fat	Cholesterol	Sodium	Carbs	Dietery Fiber	Sugar	Protein	Labels	Ingredients
#44 Buffalo Chicken Cheese Steak Meat (Giant)	Giant	190.74	5.66	1.42	94.87	545.52	3.62	0	1.63	29.26		Chicken breast with rib meat, containing up to 22% of solution of water, potassium lactate, dextrose, seasoning [salt, dehydrated chicken broth (maltodextrin, natural flavor), sugar, dehydrated onion and garlic], sodium phosphate.
#17 Mike's Famous Philly  Meat (Giant)	Giant	255.23	14.31	5.88	80.4	522.38	4.65	0	0.66	26.87		Beef, containing up to 25% of a solution of: water, dextrose, potassium lactate, salt, sodium phosphate, natural flavor.
#43 Chipotle Cheese Steak Meat (Giant)	Giant	255.23	14.31	5.88	80.4	522.38	4.65	0	0.66	26.87		Beef, containing up to 25% of a solution of: water, dextrose, potassium lactate, salt, sodium phosphate, natural flavor.
#56 Big Kahuna Cheese Steak Meat (Giant)	Giant	255.23	14.31	5.88	80.4	522.38	4.65	0	0.66	26.87		Beef, containing up to 25% of a solution of: water, dextrose, potassium lactate, salt, sodium phosphate, natural flavor.
#20 Grilled Pastrami Reuben Meat (Giant)	Giant	324	10.16	4.08	121.52	2348.96	8.08	0	0	44.56		Beef (beef, contains up to 20%: water, dextrose, salt, hydrolyzed soy protein, sodium phosphates, sugar, garlic powder, sodium ascorbate, sodium nitrite, and flavor), coating (dextrose, spices, caramel, garlic powder and smoke flavor).
Teriyaki Chicken Sub Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#19 BBQ Beef Meat (Giant)	Giant	369.68	10.88	4.16	172.32	156.48	0	0	0	68.24		100% Beef
ChixRoni LTO Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#17 Halal Steak Philly  Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#43 Halal Chipotle Cheese Steak Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#56 Halal Big Kahuna Cheese Steak Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#16 Halal Chicken Philly Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#42 Halal Chipotle Chicken Cheese Steak Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#55 Halal Big Kahuna Chicken Cheese Steak Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#44 Halal Buffalo Chicken Cheese Steak Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#31 Halal Chicken California Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#6 Halal Roast Beef and Provolone Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#7 Halal Turkey Breast and Provolone Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#9 Halal Club Supreme Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
Halal Sliced Buffalo Chicken Sub Meat (Giant)	Giant	0	0	0	0	0	0	0	0	0		
Mike's Hot Italian Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
Chicken Salad Sub Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#2 Jersey Shore's Favorite Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#3 Ham and Provolone Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#14 The Veggie Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#5 The Super Sub Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#7 Turkey and Provolone Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#10 Tuna Fish Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#6  Roast Beef and Provolone Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#13 The Original Italian Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#8 Club Sub Bacon (Giant)	Giant	130.6	10.4	3.68	28.72	498.4	0.12	0	0.12	10.28		(Pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, smoke flavoring) OR (Pork cured with water, less than 2% of salt, sugar, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite) OR (Sliced bacon cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite)
#8 Club Sub Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#9 Club Supreme Bacon (Giant)	Giant	130.6	10.4	3.68	28.72	498.4	0.12	0	0.12	10.28		(Pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, smoke flavoring) OR (Pork cured with water, less than 2% of salt, sugar, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite) OR (Sliced bacon cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite)
#9 Club Supreme Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#1 BLT Bacon (Giant)	Giant	391.8	31.2	11.04	86.16	1495.2	0.36	0	0.36	30.84		(Pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, smoke flavoring) OR (Pork cured with water, less than 2% of salt, sugar, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite) OR (Sliced bacon cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite)
#1 BLT Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#4 The Number Four Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#11 Stickball Special Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#12 Cancro Special Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
Chipotle Turkey Sub Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
Pepperoni & Cheese Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
Salami and Cheese Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
California Club Sub Bacon (Giant)	Giant	130.6	10.4	3.68	28.72	498.4	0.12	0	0.12	10.28		(Pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, smoke flavoring) OR (Pork cured with water, less than 2% of salt, sugar, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite) OR (Sliced bacon cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite)
California Club Sub Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
Turkey Club Sub Bacon (Giant)	Giant	130.6	10.4	3.68	28.72	498.4	0.12	0	0.12	10.28		(Pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, smoke flavoring) OR (Pork cured with water, less than 2% of salt, sugar, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite) OR (Sliced bacon cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite)
Turkey Club Sub Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
Mike's Hot Italian Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#16 Mike's Chicken Philly  Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#42 Chipotle Chicken Cheese Steak Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#55 Big Kahuna Chicken Cheese Steak Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#26 Bacon Ranch Chicken Cheese Steak Bacon (Giant)	Giant	130.6	10.4	3.68	28.72	498.4	0.12	0	0.12	10.28		(Pork cured with water, salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, smoke flavoring) OR (Pork cured with water, less than 2% of salt, sugar, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite) OR (Sliced bacon cured with: water, salt, sugar, sodium phosphate, sodium erythorbate, flavoring, sodium nitrite)
#26 Bacon Ranch Chicken Cheese Steak Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#31 California Chicken Cheese Steak Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#44 Buffalo Chicken Cheese Steak Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#17 Mike's Famous Philly  Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#43 Chipotle Cheese Steak Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
